iter	Logloss	Accuracy
0	0.05322952924	0.9826601387
1	0.05322952302	0.9826601387
2	0.05322952924	0.9826601387
3	0.05322952924	0.9826601387
4	0.05322952924	0.9826601387
5	0.05322952924	0.9826601387
6	0.05322952924	0.9826601387
7	0.05322952924	0.9826601387
